"Category","Average Minimum Surface Air Temperature (°C)","Average Mean Surface Air Temperature (°C)","Average Maximum Surface Air Temperature (°C)","Precipitation (mm)"
"Jan",23.62,28,32.42,86.81
"Feb",23.35,28.04,32.78,102.43
"Mar",23.11,27.79,32.52,171.9
"Apr",22.61,26.78,30.99,244.75
"May",21.37,25.81,30.3,124.29
"Jun",19.37,24.4,29.49,23.43
"Jul",18.39,23.77,29.21,11.78
"Aug",18.62,24.21,29.84,15.75
"Sep",19.06,24.92,30.83,22.73
"Oct",20.5,26.14,31.84,48.89
"Nov",22.03,27.23,32.48,92.94
"Dec",23.26,27.85,32.49,111.95
