"Category","SSP2-4.5","SSP2-4.5 10-90ᵗʰ Percentile Range (low)","SSP2-4.5 10-90ᵗʰ Percentile Range (high)","SSP5-8.5","SSP5-8.5 10-90ᵗʰ Percentile Range (low)","SSP5-8.5 10-90ᵗʰ Percentile Range (high)"
"Jan",13.6,-9.77,33.16,9.81,-9.39,45.4
"Feb",14.11,-11.59,31.75,3.62,-19.21,41.74
"Mar",9.01,-12.42,26.75,5.36,-9.65,22.24
"Apr",-0.77,-12.63,6.08,-0.99,-12.19,10.39
"May",-2.94,-26.25,20.95,-5.57,-20.7,10.05
"Jun",0.38,-24.59,33.1,-3.85,-28.11,14.46
"Jul",-2.34,-24.09,17.78,-5.51,-25.49,17.91
"Aug",-4.14,-19.83,1.75,-6.92,-23.26,5.38
"Sep",-10.85,-21.77,10.93,-13.36,-29.99,1.38
"Oct",-6.18,-25.71,8.37,-9.9,-38.69,23.24
"Nov",3.39,-18.94,21.23,2.76,-20.35,18.4
"Dec",-3.03,-14.1,24.38,3.56,-16.44,37.56
