MPA_NAME,COUNTRY,buffer_m_used,variable,statistic,type,scenario,time_period,value
Addo Elephant,South Africa,0,dfe,baseline,baseline,baseline,2000_2018,0.0013924008690745413
Addo Elephant,South Africa,0,dfe,max,projection,ssp245,2020,0.002662800472134694
Addo Elephant,South Africa,0,dfe,max,projection,ssp245,2030,0.0026913789485615287
Addo Elephant,South Africa,0,dfe,max,projection,ssp245,2040,0.002888447889908327
Addo Elephant,South Africa,0,dfe,max,projection,ssp245,2050,0.0030787403567439334
Addo Elephant,South Africa,0,dfe,max,projection,ssp245,2060,0.0028014376998302783
Addo Elephant,South Africa,0,dfe,max,projection,ssp245,2070,0.0028797556094962234
Addo Elephant,South Africa,0,dfe,max,projection,ssp245,2080,0.0029824447225543817
Addo Elephant,South Africa,0,dfe,max,projection,ssp245,2090,0.002572815304035989
Addo Elephant,South Africa,0,dfe,max,projection,ssp585,2020,0.002081420692788455
Addo Elephant,South Africa,0,dfe,max,projection,ssp585,2030,0.0020031814701829726
Addo Elephant,South Africa,0,dfe,max,projection,ssp585,2040,0.0020468873666808184
Addo Elephant,South Africa,0,dfe,max,projection,ssp585,2050,0.002040385430972458
Addo Elephant,South Africa,0,dfe,max,projection,ssp585,2060,0.0020379601334699713
Addo Elephant,South Africa,0,dfe,max,projection,ssp585,2070,0.0020808050642796235
Addo Elephant,South Africa,0,dfe,max,projection,ssp585,2080,0.0020713914388973543
Addo Elephant,South Africa,0,dfe,max,projection,ssp585,2090,0.0020979089934171167
Addo Elephant,South Africa,0,dfe,mean,projection,ssp245,2020,0.0012153692510997766
Addo Elephant,South Africa,0,dfe,mean,projection,ssp245,2030,0.001412659881739631
Addo Elephant,South Africa,0,dfe,mean,projection,ssp245,2040,0.0016177462244746242
Addo Elephant,South Africa,0,dfe,mean,projection,ssp245,2050,0.0016085421358345109
Addo Elephant,South Africa,0,dfe,mean,projection,ssp245,2060,0.0015193324120232176
Addo Elephant,South Africa,0,dfe,mean,projection,ssp245,2070,0.0015445080292231345
Addo Elephant,South Africa,0,dfe,mean,projection,ssp245,2080,0.0014513406163494402
Addo Elephant,South Africa,0,dfe,mean,projection,ssp245,2090,0.001376357553847912
