Entity,HCA,S1,S3,S4,P1,P2,P3,P4,P5,R1,R2,R3,Scale,Power,Resource,Agency
LFA,A,1.00,0.70,0.20,0.00,0.00,1.00,1.00,1.00,0.30,0.00,0.00,0.63,0.60,0.10,0.47
MDC,,1.00,0.70,0.70,1.00,0.80,1.00,1.00,1.00,0.70,0.50,0.30,0.80,0.96,0.50,0.79
MLFDoF,,1.00,0.30,1.00,1.00,0.80,1.00,0.50,1.00,0.70,0.50,0.30,0.77,0.86,0.50,0.74
MNRTFD,,1.00,0.30,1.00,1.00,0.80,1.00,0.50,1.00,0.70,0.50,0.30,0.77,0.86,0.50,0.74
MPRU,,1.00,0.30,1.00,1.00,0.80,1.00,1.00,1.00,0.70,0.50,0.30,0.77,0.96,0.50,0.78
NEMC,,0.00,0.30,1.00,1.00,0.80,1.00,1.00,1.00,0.00,0.50,0.30,0.43,0.96,0.27,0.63
PRC,,1.00,0.30,0.70,1.00,0.80,1.00,1.00,1.00,0.70,0.50,0.30,0.67,0.96,0.50,0.75
SFA,,1.00,0.70,0.20,0.00,0.00,1.00,1.00,1.00,0.30,0.00,0.00,0.63,0.60,0.10,0.47
TFS,,1.00,0.30,1.00,1.00,0.80,1.00,1.00,1.00,0.70,0.50,0.30,0.77,0.96,0.50,0.78
VPODoE,,1.00,0.30,1.00,1.00,0.80,1.00,1.00,1.00,0.70,0.50,0.30,0.77,0.96,0.50,0.78
,,0.90,0.42,0.78,0.80,0.64,1.00,0.90,1.00,0.55,0.40,0.24,0.70,0.87,0.40,0.69
,,,,,,,,,,,,,,,,
CCCS,B,0.00,0.30,1.00,0.30,0.30,0.00,0.00,0.00,0.00,0.50,0.00,0.43,0.12,0.17,0.22
IMS,,0.00,0.30,1.00,0.30,0.30,0.00,0.00,0.00,0.00,0.50,0.30,0.43,0.12,0.27,0.25
SoAF,,0.00,0.30,1.00,0.30,0.30,0.00,0.00,0.00,0.00,0.50,0.00,0.43,0.12,0.17,0.22
SUADGES,,0.00,0.30,1.00,0.30,0.30,0.00,0.00,0.00,0.00,0.50,0.00,0.43,0.12,0.17,0.22
,,0.00,0.30,1.00,0.30,0.30,0.00,0.00,0.00,0.00,0.50,0.08,0.43,0.12,0.20,0.23
,,,,,,,,,,,,,,,,
DSFA,C,0.00,0.30,1.00,1.00,0.80,0.50,0.00,0.00,0.00,0.00,0.00,0.43,0.46,0.00,0.33
MWAMBAO,,0.00,0.30,0.30,0.30,0.30,0.50,0.00,0.00,0.00,0.50,0.00,0.20,0.22,0.17,0.20
RoH,,1.00,0.70,0.20,0.00,0.00,0.50,0.50,0.00,0.70,0.50,0.30,0.63,0.20,0.50,0.40
Sea Sense,,1.00,0.30,0.50,0.30,0.30,0.50,0.50,0.00,0.70,0.50,0.30,0.60,0.32,0.50,0.45
TAFIRI,,0.00,0.30,1.00,0.30,0.30,0.50,0.50,0.00,0.00,0.50,0.30,0.43,0.32,0.27,0.34
TMA,,0.00,0.30,1.00,0.30,0.30,0.50,0.50,0.00,0.00,0.50,0.00,0.43,0.32,0.17,0.31
TNC,,0.00,0.30,0.50,0.30,0.30,0.50,0.00,0.00,0.00,0.50,0.00,0.27,0.22,0.17,0.22
WCS,,0.00,0.30,0.50,0.30,0.30,0.50,0.00,0.00,0.00,0.50,0.30,0.27,0.22,0.27,0.25
WIOMN,,0.00,0.30,0.50,0.30,0.50,0.50,0.50,0.00,0.00,0.50,0.00,0.27,0.36,0.17,0.28
WIOMPAN,,1.00,0.30,0.50,0.30,0.30,0.50,0.50,0.00,0.70,0.50,0.00,0.60,0.32,0.40,0.42
WIOMSA,,0.00,0.30,0.50,0.30,0.30,0.50,0.00,0.00,0.00,0.50,0.00,0.27,0.22,0.17,0.22
,,0.27,0.34,0.59,0.34,0.34,0.50,0.27,0.00,0.19,0.45,0.11,0.40,0.29,0.25,0.31
,,,,,,,,,,,,,,,,
HTOs,D,1.00,0.70,0.20,0.00,0.00,1.00,0.50,0.00,0.70,0.00,0.30,0.63,0.30,0.33,0.40
,,1.00,0.70,0.20,0.00,0.00,1.00,0.50,0.00,0.70,0.00,0.30,0.63,0.30,0.33,0.40
,,,,,,,,,,,,,,,,
WATONET,E,1.00,0.70,0.20,0.00,0.00,0.50,1.00,0.00,0.70,0.50,0.30,0.63,0.30,0.50,0.45
WWF,,1.00,0.30,0.50,0.30,0.30,0.50,1.00,0.00,0.70,0.50,0.30,0.60,0.42,0.50,0.49
,,1.00,0.50,0.35,0.15,0.15,0.50,1.00,0.00,0.70,0.50,0.30,0.62,0.36,0.50,0.47
