,datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude (degrees_east),maxLongitude (degrees_east),longitudeSpacing (degrees_east),minLatitude (degrees_north),maxLatitude (degrees_north),latitudeSpacing (degrees_north),minAltitude (m),maxAltitude (m),minTime (UTC),maxTime (UTC),timeSpacing (seconds),griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
0,tas_baseline_2000_2020_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle AirTemperature [depthSurf] Baseline 2000-2020.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2000-01-01T00:00:00Z,2010-01-01T00:00:00Z,315619200,https://erddap.bio-oracle.org/erddap/griddap/tas_baseline_2000_2020_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/tas_baseline_2000_2020_depthsurf.graph,,,https://erddap.bio-oracle.org/erddap/wms/tas_baseline_2000_2020_depthsurf/request,https://erddap.bio-oracle.org/erddap/files/tas_baseline_2000_2020_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/tas_baseline_2000_2020_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/tas_baseline_2000_2020_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/tas_baseline_2000_2020_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/tas_baseline_2000_2020_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=tas_baseline_2000_2020_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
1,tas_ssp119_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle AirTemperature [depthSurf] SSP119 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp119_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp119_2020_2100_depthsurf.graph,,,https://erddap.bio-oracle.org/erddap/wms/tas_ssp119_2020_2100_depthsurf/request,https://erddap.bio-oracle.org/erddap/files/tas_ssp119_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/tas_ssp119_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/tas_ssp119_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/tas_ssp119_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/tas_ssp119_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=tas_ssp119_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
2,tas_ssp126_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle AirTemperature [depthSurf] SSP126 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp126_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp126_2020_2100_depthsurf.graph,,,https://erddap.bio-oracle.org/erddap/wms/tas_ssp126_2020_2100_depthsurf/request,https://erddap.bio-oracle.org/erddap/files/tas_ssp126_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/tas_ssp126_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/tas_ssp126_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/tas_ssp126_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/tas_ssp126_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=tas_ssp126_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
3,tas_ssp245_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle AirTemperature [depthSurf] SSP245 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp245_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp245_2020_2100_depthsurf.graph,,,https://erddap.bio-oracle.org/erddap/wms/tas_ssp245_2020_2100_depthsurf/request,https://erddap.bio-oracle.org/erddap/files/tas_ssp245_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/tas_ssp245_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/tas_ssp245_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/tas_ssp245_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/tas_ssp245_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=tas_ssp245_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
4,tas_ssp370_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle AirTemperature [depthSurf] SSP370 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp370_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp370_2020_2100_depthsurf.graph,,,https://erddap.bio-oracle.org/erddap/wms/tas_ssp370_2020_2100_depthsurf/request,https://erddap.bio-oracle.org/erddap/files/tas_ssp370_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/tas_ssp370_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/tas_ssp370_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/tas_ssp370_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/tas_ssp370_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=tas_ssp370_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
5,tas_ssp460_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle AirTemperature [depthSurf] SSP460 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp460_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp460_2020_2100_depthsurf.graph,,,https://erddap.bio-oracle.org/erddap/wms/tas_ssp460_2020_2100_depthsurf/request,https://erddap.bio-oracle.org/erddap/files/tas_ssp460_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/tas_ssp460_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/tas_ssp460_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/tas_ssp460_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/tas_ssp460_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=tas_ssp460_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
6,tas_ssp585_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle AirTemperature [depthSurf] SSP585 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp585_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/tas_ssp585_2020_2100_depthsurf.graph,,,https://erddap.bio-oracle.org/erddap/wms/tas_ssp585_2020_2100_depthsurf/request,https://erddap.bio-oracle.org/erddap/files/tas_ssp585_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/tas_ssp585_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/tas_ssp585_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/tas_ssp585_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/tas_ssp585_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=tas_ssp585_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
7,chl_baseline_2000_2018_depthmax,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle Chlorophyll [depthMax] Baseline 2000-2018.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2000-01-01T00:00:00Z,2010-01-01T00:00:00Z,315619200,https://erddap.bio-oracle.org/erddap/griddap/chl_baseline_2000_2018_depthmax,,,https://erddap.bio-oracle.org/erddap/griddap/chl_baseline_2000_2018_depthmax.graph,,,https://erddap.bio-oracle.org/erddap/wms/chl_baseline_2000_2018_depthmax/request,https://erddap.bio-oracle.org/erddap/files/chl_baseline_2000_2018_depthmax/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/chl_baseline_2000_2018_depthmax_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/chl_baseline_2000_2018_depthmax_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/chl_baseline_2000_2018_depthmax/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/chl_baseline_2000_2018_depthmax.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=chl_baseline_2000_2018_depthmax&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
8,chl_baseline_2000_2018_depthmean,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle Chlorophyll [depthMean] Baseline 2000-2018.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2000-01-01T00:00:00Z,2010-01-01T00:00:00Z,315619200,https://erddap.bio-oracle.org/erddap/griddap/chl_baseline_2000_2018_depthmean,,,https://erddap.bio-oracle.org/erddap/griddap/chl_baseline_2000_2018_depthmean.graph,,,https://erddap.bio-oracle.org/erddap/wms/chl_baseline_2000_2018_depthmean/request,https://erddap.bio-oracle.org/erddap/files/chl_baseline_2000_2018_depthmean/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/chl_baseline_2000_2018_depthmean_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/chl_baseline_2000_2018_depthmean_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/chl_baseline_2000_2018_depthmean/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/chl_baseline_2000_2018_depthmean.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=chl_baseline_2000_2018_depthmean&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
9,chl_baseline_2000_2018_depthmin,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle Chlorophyll [depthMin] Baseline 2000-2018.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2000-01-01T00:00:00Z,2010-01-01T00:00:00Z,315619200,https://erddap.bio-oracle.org/erddap/griddap/chl_baseline_2000_2018_depthmin,,,https://erddap.bio-oracle.org/erddap/griddap/chl_baseline_2000_2018_depthmin.graph,,,https://erddap.bio-oracle.org/erddap/wms/chl_baseline_2000_2018_depthmin/request,https://erddap.bio-oracle.org/erddap/files/chl_baseline_2000_2018_depthmin/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/chl_baseline_2000_2018_depthmin_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/chl_baseline_2000_2018_depthmin_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/chl_baseline_2000_2018_depthmin/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/chl_baseline_2000_2018_depthmin.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=chl_baseline_2000_2018_depthmin&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
