,region,mam_mean_sum_mm,ond_mean_sum_mm,total_rain_avg_mm
0,Bungu,578.9477,293.83777,872.78546
1,Chemchem,493.29346,284.12103,777.4145
2,Chumbi,587.17725,306.91583,894.0931
3,Dimani,509.4844,262.7127,772.19714
4,Ikwiriri,527.0299,276.6097,803.63965
5,Kibiti,558.2144,263.23627,821.4507
6,Kiongoroni,687.76556,272.12262,959.8882
7,Mahege,606.4325,292.04126,898.47375
8,Maparoni,681.33936,281.94635,963.2857
9,Mbuchi,654.81793,274.74487,929.5628
10,Mbwara,560.74304,311.39612,872.13916
11,Mchukwi,579.03284,283.09787,862.13074
12,Mgomba,531.3422,277.5382,808.88043
13,Mjawa,556.2125,287.71735,843.9299
14,Mkongo,481.91895,272.1455,754.06445
15,Mlanzi,635.9709,298.28616,934.2571
16,Mtawanya,582.33813,294.0735,876.4116
17,Mtunda,592.8185,277.2448,870.0633
18,Mwambao,583.2435,283.52194,866.7655
19,Mwaseni,422.73572,235.34146,658.07715
20,Ngarambe,490.82025,302.4993,793.3196
21,Ngorongo,449.7577,274.87314,724.63086
22,Ruaruke,596.61176,284.0896,880.70135
23,Salale,518.3117,215.26678,733.5785
24,Umwe,563.1986,282.91336,846.11194
25,Utete,462.51614,271.00888,733.525
