start,end,duration_days,max_intensity,mean_intensity,peak_sst,max_category
1987-04-01,1987-04-09,9,0.8,0.37,30.91,Moderate
1987-04-14,1987-04-21,8,0.75,0.34,30.51,Moderate
1987-04-28,1987-05-02,5,0.13,0.06,29.3,Moderate
1988-01-05,1988-01-10,6,1.21,0.66,30.56,Moderate
1988-02-09,1988-02-14,6,0.3,0.16,29.96,Moderate
1988-03-08,1988-03-15,8,0.5,0.31,30.65,Moderate
1990-01-24,1990-01-28,5,0.63,0.36,30.23,Moderate
1990-02-02,1990-02-11,10,0.94,0.45,30.57,Moderate
1990-04-28,1990-05-06,9,0.48,0.23,29.46,Moderate
1992-07-01,1992-07-05,5,0.1,0.07,26.85,Moderate
1996-01-22,1996-01-26,5,0.29,0.18,29.92,Moderate
1997-09-29,1997-10-04,6,0.19,0.14,26.8,Moderate
1998-01-05,1998-01-16,12,0.63,0.41,30.09,Moderate
1998-03-01,1998-03-06,6,0.22,0.16,30.22,Moderate
1998-03-13,1998-03-18,6,1.09,0.57,31.26,Moderate
1998-03-28,1998-04-01,5,1.4,0.96,31.63,Moderate
1998-04-05,1998-04-13,9,0.91,0.61,30.86,Moderate
1998-04-16,1998-04-21,6,0.72,0.52,30.36,Moderate
1998-05-13,1998-05-18,6,0.64,0.35,29.41,Moderate
1998-08-09,1998-08-16,8,0.6,0.18,26.41,Moderate
1998-10-04,1998-10-08,5,0.56,0.43,27.25,Moderate
2002-08-20,2002-08-25,6,0.42,0.22,26.22,Moderate
2002-09-24,2002-09-30,7,0.17,0.13,26.68,Moderate
2002-11-07,2002-11-11,5,0.59,0.3,28.65,Moderate
2002-11-23,2002-11-27,5,0.32,0.16,28.96,Moderate
2002-12-11,2002-12-18,8,0.83,0.43,29.84,Moderate
2004-01-20,2004-01-25,6,0.64,0.41,30.27,Moderate
2004-01-29,2004-02-02,5,0.29,0.2,29.91,Moderate
2005-09-07,2005-09-11,5,0.33,0.25,26.37,Moderate
2006-02-20,2006-02-25,6,0.5,0.38,30.28,Moderate
2007-04-25,2007-05-08,14,0.4,0.2,29.57,Moderate
2007-05-12,2007-05-27,16,0.47,0.25,29.13,Moderate
2007-06-07,2007-06-18,12,0.38,0.25,28.19,Moderate
2007-08-14,2007-08-19,6,0.24,0.16,26.05,Moderate
2007-08-22,2007-09-18,28,0.39,0.15,26.47,Moderate
2008-10-20,2008-10-24,5,0.4,0.25,27.77,Moderate
2009-06-20,2009-06-30,11,0.38,0.21,27.51,Moderate
2009-10-04,2009-10-17,14,0.68,0.24,27.46,Moderate
2009-11-12,2009-11-18,7,0.22,0.12,28.55,Moderate
2009-11-20,2010-01-01,43,0.88,0.38,29.9,Moderate
2010-03-03,2010-03-11,9,0.24,0.14,30.31,Moderate
2010-04-18,2010-04-25,8,0.4,0.28,29.81,Moderate
2010-05-16,2010-06-02,18,0.48,0.25,28.92,Moderate
2010-06-14,2010-07-07,24,0.65,0.29,28.17,Moderate
2010-07-12,2010-07-17,6,0.14,0.09,26.54,Moderate
2010-07-26,2010-08-02,8,0.29,0.14,26.25,Moderate
2010-10-13,2010-10-18,6,0.31,0.13,27.3,Moderate
2011-05-25,2011-06-15,22,0.32,0.17,28.58,Moderate
2011-07-03,2011-07-10,8,0.32,0.12,27.03,Moderate
2011-08-06,2011-08-17,12,0.35,0.21,26.19,Moderate
2011-08-21,2011-08-25,5,0.4,0.27,26.2,Moderate
2011-10-28,2011-11-04,8,0.62,0.27,28.23,Moderate
2011-11-25,2011-12-06,12,0.32,0.24,29.2,Moderate
2012-04-01,2012-04-05,5,0.19,0.14,30.35,Moderate
2012-08-21,2012-09-04,15,0.18,0.08,26.08,Moderate
2012-09-08,2012-09-16,9,0.33,0.15,26.56,Moderate
2012-09-18,2012-09-26,9,0.26,0.11,26.65,Moderate
2012-12-22,2013-01-02,12,0.96,0.56,30.14,Moderate
2013-12-03,2013-12-12,10,0.86,0.35,29.8,Moderate
2014-08-10,2014-08-16,7,0.35,0.23,26.18,Moderate
2014-11-09,2014-11-16,8,0.27,0.13,28.37,Moderate
2014-11-24,2014-11-28,5,0.32,0.27,29.11,Moderate
2014-12-03,2014-12-13,11,0.45,0.25,29.42,Moderate
2014-12-15,2014-12-23,9,0.69,0.35,29.71,Moderate
2015-05-25,2015-05-31,7,0.35,0.2,28.66,Moderate
2015-06-02,2015-06-10,9,0.37,0.16,28.29,Moderate
2015-07-21,2015-09-22,64,0.76,0.28,26.88,Moderate
2015-09-25,2015-10-15,21,0.87,0.45,27.55,Moderate
2015-10-18,2015-10-31,14,0.32,0.11,27.86,Moderate
2015-11-29,2016-01-17,50,1.0,0.34,30.04,Moderate
2016-03-05,2016-03-26,22,0.83,0.38,31.03,Moderate
2016-03-28,2016-04-12,16,0.63,0.24,30.67,Moderate
2016-04-17,2016-04-29,13,0.81,0.46,30.13,Moderate
2016-05-01,2016-05-09,9,0.69,0.33,29.7,Moderate
2016-12-20,2017-01-02,14,0.45,0.24,29.66,Moderate
2017-06-14,2017-06-24,11,0.39,0.17,27.76,Moderate
2017-06-29,2017-08-28,61,0.5,0.24,27.04,Moderate
2017-09-07,2017-09-13,7,0.18,0.1,26.24,Moderate
2017-09-21,2017-10-13,23,0.43,0.24,27.38,Moderate
2017-11-10,2017-11-23,14,0.36,0.2,28.74,Moderate
2017-11-29,2017-12-08,10,0.61,0.4,29.5,Moderate
2018-07-10,2018-07-17,8,0.16,0.09,26.62,Moderate
2018-07-30,2018-08-29,31,0.51,0.29,26.32,Moderate
2018-09-01,2018-09-09,9,0.12,0.07,26.12,Moderate
2018-09-11,2018-09-19,9,0.34,0.21,26.57,Moderate
2018-12-02,2018-12-22,21,0.93,0.4,29.95,Moderate
2018-12-27,2019-01-08,13,0.42,0.24,29.64,Moderate
2019-04-15,2019-04-29,15,0.5,0.27,30.16,Moderate
2019-07-08,2019-07-12,5,0.17,0.1,26.74,Moderate
2019-08-06,2019-08-19,14,0.32,0.19,26.22,Moderate
2019-08-23,2019-09-06,15,0.52,0.24,26.44,Moderate
2019-09-19,2019-09-25,7,0.36,0.17,26.8,Moderate
2019-10-01,2019-11-06,37,0.46,0.2,28.28,Moderate
2019-11-10,2019-11-15,6,0.44,0.15,28.69,Moderate
2019-11-19,2019-11-26,8,0.28,0.12,28.92,Moderate
2019-11-30,2019-12-20,21,0.88,0.44,29.91,Moderate
2020-01-06,2020-01-14,9,0.43,0.21,29.94,Moderate
2020-02-04,2020-02-11,8,0.11,0.05,29.74,Moderate
2020-02-18,2020-03-03,15,0.66,0.4,30.61,Moderate
2020-03-16,2020-03-21,6,0.64,0.34,30.86,Moderate
2020-04-24,2020-05-04,11,0.54,0.35,29.63,Moderate
2020-10-05,2020-11-01,28,1.27,0.29,28.2,Moderate
2020-12-05,2020-12-11,7,0.18,0.1,29.15,Moderate
2020-12-20,2020-12-25,6,0.28,0.15,29.36,Moderate
2021-11-08,2021-11-22,15,0.22,0.09,28.56,Moderate
2021-12-21,2022-01-06,17,0.88,0.37,30.08,Moderate
2022-04-07,2022-04-12,6,0.16,0.07,30.13,Moderate
2022-05-29,2022-06-04,7,0.23,0.14,28.33,Moderate
2023-05-13,2023-05-17,5,0.2,0.1,28.94,Moderate
2023-05-22,2023-05-27,6,0.15,0.08,28.61,Moderate
2023-06-16,2023-06-24,9,0.17,0.1,27.62,Moderate
2023-07-02,2023-07-13,12,0.31,0.13,26.86,Moderate
2023-07-20,2023-08-01,13,0.24,0.13,26.31,Moderate
2023-08-16,2023-11-02,79,0.81,0.41,28.2,Moderate
2023-11-04,2023-11-18,15,0.5,0.26,28.73,Moderate
2023-12-06,2024-01-09,35,0.84,0.57,30.04,Strong
2024-02-03,2024-03-25,52,0.75,0.29,30.84,Moderate
2024-03-28,2024-04-07,11,0.23,0.08,30.38,Moderate
2024-06-02,2024-06-11,10,0.72,0.48,28.58,Moderate
2024-06-16,2024-10-17,124,1.0,0.5,27.61,Moderate
2024-10-19,2024-11-30,43,0.56,0.26,29.01,Moderate
2024-12-09,2024-12-29,21,0.74,0.41,29.86,Moderate
2025-01-09,2025-01-13,5,0.12,0.07,29.62,Moderate
2025-04-24,2025-05-04,11,0.13,0.08,29.38,Moderate
2025-05-21,2025-06-15,26,0.32,0.14,28.8,Moderate
2025-06-27,2025-07-01,5,0.19,0.13,27.1,Moderate
2025-08-22,2025-09-14,24,0.33,0.18,26.37,Moderate
2025-11-25,2025-11-30,6,0.29,0.2,29.09,Moderate
2025-12-05,2025-12-18,14,0.67,0.27,29.68,Moderate
