year,month,sst_mean,sst_min,sst_max,date,clim_monthly_mean,anomaly
1985,1,28.700794,27.95143,29.274641,1985-01-15,28.576626,0.124168396
1985,2,28.545025,26.847857,29.621067,1985-02-15,28.754911,-0.20988655
1985,3,29.150219,27.666788,30.32786,1985-03-15,29.323496,-0.1732769
1985,4,28.405083,27.645716,28.981785,1985-04-15,28.854733,-0.4496498
1985,5,27.83182,27.265713,28.421427,1985-05-15,27.985186,-0.15336609
1985,6,26.426846,25.870714,27.248571,1985-06-15,26.798796,-0.37195015
1985,7,25.687614,25.081787,26.027142,1985-07-15,25.807795,-0.12018013
1985,8,25.077408,24.308928,25.46607,1985-08-15,25.307146,-0.22973824
1985,9,25.290535,24.817856,25.81107,1985-09-15,25.65103,-0.3604946
1985,10,25.88039,24.697496,26.757502,1985-10-15,26.394232,-0.5138416
1985,11,27.110748,25.525713,28.235712,1985-11-15,27.614315,-0.50356674
1985,12,28.481417,27.741428,29.01393,1985-12-15,28.478245,0.0031719208
1986,1,28.009342,27.288572,29.013212,1986-01-15,28.576626,-0.56728363
1986,2,28.742933,28.08607,30.546429,1986-02-15,28.754911,-0.011978149
1986,3,28.972603,28.517502,29.549284,1986-03-15,29.323496,-0.35089302
1986,4,28.632261,27.846786,29.165358,1986-04-15,28.854733,-0.22247124
1986,5,27.61857,26.857859,28.696426,1986-05-15,27.985186,-0.3666153
1986,6,26.373594,25.515,27.154644,1986-06-15,26.798796,-0.42520142
1986,7,25.32181,24.274286,25.834642,1986-07-15,25.807795,-0.4859848
1986,8,24.930853,24.242859,25.222498,1986-08-15,25.307146,-0.37629318
1986,9,25.508451,25.003216,26.192858,1986-09-15,25.65103,-0.14257812
1986,10,26.444492,25.41357,27.305004,1986-10-15,26.394232,0.050260544
1986,11,28.009367,27.273212,28.540712,1986-11-15,27.614315,0.39505196
1986,12,28.831636,28.04357,29.420712,1986-12-15,28.478245,0.35339165
1987,1,28.398697,27.964643,28.986073,1987-01-15,28.576626,-0.17792892
