doy,clim_mean,p90,n_obs
1,28.507614,29.207855224609375,651
2,28.511341,29.226789474487305,651
3,28.514595,29.246784210205078,651
4,28.515577,29.249645233154297,651
5,28.516039,29.268571853637695,651
6,28.518955,29.278928756713867,651
7,28.523876,29.31035804748535,651
8,28.527979,29.350000381469727,651
9,28.527767,29.400358200073242,651
10,28.532293,29.45713996887207,651
11,28.539309,29.471071243286133,651
12,28.545216,29.501428604125977,651
13,28.551226,29.519287109375,651
14,28.560106,29.534997940063477,651
15,28.567211,29.54571533203125,651
16,28.576626,29.547500610351562,651
17,28.587791,29.574283599853516,651
18,28.592466,29.593568801879883,651
19,28.596472,29.600357055664062,651
20,28.60353,29.622142791748047,651
21,28.610104,29.632497787475586,651
22,28.619072,29.632497787475586,651
23,28.618843,29.62106704711914,651
24,28.615444,29.593568801879883,651
25,28.618069,29.5867862701416,651
26,28.624012,29.5867862701416,651
27,28.63779,29.599641799926758,651
28,28.648062,29.612497329711914,651
29,28.654936,29.612497329711914,651
30,28.657673,29.612497329711914,651
31,28.659948,29.62071418762207,651
32,28.664555,29.612497329711914,651
33,28.66987,29.62071418762207,651
34,28.677132,29.62071418762207,651
35,28.686642,29.63321304321289,651
36,28.695648,29.63321304321289,651
37,28.70565,29.641427993774414,651
38,28.713116,29.62071418762207,651
39,28.718279,29.604642868041992,651
40,28.726797,29.593568801879883,651
41,28.73358,29.593568801879883,651
42,28.735214,29.585357666015625,651
43,28.73761,29.612497329711914,651
44,28.745289,29.629287719726562,651
45,28.75828,29.66249656677246,651
46,28.774137,29.689285278320312,651
47,28.788906,29.69892692565918,651
48,28.800383,29.710355758666992,651
49,28.815104,29.723926544189453,651
50,28.828781,29.74464225769043,651
51,28.842222,29.749645233154297,651
52,28.857924,29.774282455444336,651
53,28.870794,29.778213500976562,651
54,28.887608,29.779998779296875,651
55,28.90889,29.78750228881836,651
56,28.931427,29.816431045532227,651
57,28.957548,29.825714111328125,651
58,28.980902,29.84214210510254,651
59,29.008377,29.868927001953125,651
60,29.035822,29.91607093811035,651
61,29.064907,29.948572158813477,651
62,29.094519,29.97928237915039,651
63,29.117746,30.02214241027832,651
64,29.139694,30.05107307434082,651
65,29.161242,30.05535888671875,651
66,29.181137,30.072856903076172,651
67,29.199848,30.079286575317383,651
68,29.21716,30.084997177124023,651
69,29.23182,30.087499618530273,651
70,29.247042,30.117143630981445,651
71,29.263927,30.11964225769043,651
72,29.277689,30.144285202026367,651
73,29.29154,30.156431198120117,651
74,29.309153,30.167499542236328,651
75,29.322004,30.197498321533203,651
76,29.33036,30.199642181396484,651
77,29.335077,30.20428466796875,651
78,29.339064,30.216426849365234,651
79,29.339298,30.220001220703125,651
80,29.337252,30.225717544555664,651
81,29.338547,30.22785758972168,651
82,29.341604,30.235000610351562,651
83,29.340954,30.241426467895508,651
84,29.33775,30.241426467895508,651
85,29.332806,30.241426467895508,651
86,29.32711,30.241426467895508,651
87,29.318233,30.235000610351562,651
88,29.3032,30.22785758972168,651
89,29.284988,30.221426010131836,651
90,29.265545,30.216426849365234,651
91,29.244095,30.197498321533203,651
92,29.224169,30.156431198120117,651
93,29.200092,30.10678482055664,651
94,29.177416,30.061786651611328,651
95,29.15565,30.042497634887695,651
96,29.131708,30.009286880493164,651
97,29.106693,29.97892951965332,651
98,29.081467,29.966426849365234,651
99,29.056335,29.954286575317383,651
100,29.034323,29.948930740356445,651
101,29.009949,29.901071548461914,651
102,28.981028,29.886428833007812,651
103,28.949392,29.8410701751709,651
104,28.917896,29.824644088745117,651
105,28.88274,29.762859344482422,651
106,28.84573,29.69464111328125,651
107,28.811405,29.663211822509766,651
108,28.78311,29.606430053710938,651
109,28.757626,29.474288940429688,651
110,28.73648,29.436071395874023,651
111,28.718199,29.406070709228516,651
112,28.692991,29.374643325805664,651
113,28.664623,29.32607078552246,651
114,28.637144,29.306066513061523,651
115,28.611097,29.297143936157227,651
116,28.585104,29.280359268188477,651
117,28.559254,29.226072311401367,651
118,28.529821,29.200714111328125,651
119,28.500246,29.171430587768555,651
120,28.473778,29.15642738342285,651
121,28.445078,29.10321044921875,651
122,28.414507,29.035356521606445,651
