"MPA_Name","pct_245_gt1.5","pct_245_gt2.0","pct_586_gt1.5","pct_585_gt2.0"
"Mombasa Marine Park",0,0,100,0
"Mombasa Marine Reserve",0,0,16.6666666666667,0
"Watamu National Park",0,0,100,100
"Malindi  National Park",100,0,100,100
"Kiunga Marine National Reserve",100,0,100,100
"Kisite-Mpunguti Marine Reserve",33.3333333333333,0,66.6666666666667,33.3333333333333
"Kisite-Mpunguti Marine Park",100,0,100,100
"Diani-Chale Marine National Park and Reserve",50,0,100,100
"Parc National Coelacanthe",0,0,0,0
"Parc National Mitsamiouli-Ndroude",0,0,100,0
"Parc National Shisiwani",0,0,50,50
"Parc National de Moheli (Moheli National Park)
",14.2857142857143,0,50,28.5714285714286
"Soariake",45.4545454545455,0,90.9090909090909,81.8181818181818
"Ankarea",59.1836734693878,0,100,100
"Ambodivahibe",6.66666666666667,0,13.3333333333333,6.66666666666667
"Velondriake",68.1818181818182,0,86.3636363636364,86.3636363636364
"Kirindy Mite",90,0,100,100
"Lokobe",100,0,100,100
"Mananara Nord",0,0,100,100
"Masoala",0,0,100,100
"Nosy Hara",63.1578947368421,0,84.2105263157895,81.5789473684211
"Nosy Mangabe",0,0,100,100
"Nosy Tanihely",100,0,100,100
"Nosy Ve Androka",43.3333333333333,0,76.6666666666667,66.6666666666667
"Sahamalaza Iles Radama",25,0,100,100
"Ankivonjy",20.9302325581395,0,46.5116279069767,44.1860465116279
"Marromeu",NA,NA,NA,NA
"Bazaruto Archipelago",55.3191489361702,0,100,91.4893617021277
"Cabo Sao Sebastiao",100,0,100,100
"Ponta do Ouro",0,0,100,96.2962962962963
"Primeiras and Segundas",17.3684210526316,0,87.8947368421053,78.4210526315789
"Prince Edward Island",1.09103707179728,0.222900046926326,2.19380572501173,1.65415297982168
"Kirui Island",100,0,100,100
"Mafia Island",82.6086956521739,0,100,95.6521739130435
"Nyororo Island",100,0,100,100
"Mbarakuni Island",100,0,100,100
"Mnazi Bay-Ruvuma Estuary",75,0,100,100
"Tanga Coelacanth Marine Park (TACMP)",33.3333333333333,0,100,100
"Ulenge Island",100,0,100,100
"Kwale Island",100,0,100,100
"Mwewe Island",NA,NA,NA,NA
"Bongoyo Island",100,0,100,100
"Pangavini Island",100,0,100,100
"Mbudya Island",100,0,100,100
"Fungu-Yasin",100,0,100,100
"Kendwa Island",100,0,100,100
"Makatube Island",100,0,100,100
"Shungumbili",100,0,100,100
"Sinda Island",50,0,100,100
"Maziwe Island",100,0,100,100
"Quirimbas",58.974358974359,0,84.6153846153846,71.7948717948718
"Pemba Channel",50,0,73.0769230769231,65.3846153846154
"Mnemba Island Marine Conservation Area (MIMCA)",44.4444444444444,0,100,88.8888888888889
"Menai Bay Conservation Area",91.304347826087,0,100,95.6521739130435
"Changuu-Bawe",100,0,100,100
"Tumbatu",100,0,100,100
"Ngezi-Vumawimbi",0,0,100,50
"Chumbe Island Coral Park/ Sanctuary",100,0,100,100
"Pomene",NA,NA,NA,NA
"TBCA",57.1428571428571,0,61.9047619047619,61.9047619047619
"Black river",0,0,100,100
"Grand Port Zone A",NA,NA,NA,NA
"Blue Bay",0,0,0,0
"Grand Port Zone B",0,0,0,0
"Trou d' Eau Douce",0,0,100,50
"Poste La Fayette",0,0,50,50
"Poudre d' Or",0,0,100,0
"Balaclava",0,0,0,0
"Black River",0,0,50,50
"Port Louis",0,0,0,0
"Passe Demie",0,0,100,100
"Grand Bassin",0,0,75,75
"Anse aux Anglais",0,0,100,100
"Riviere Banane",NA,NA,NA,NA
"South East Marine Protected Area (SEMPA)",0,0,100,100
"Baie de Boueni",25,0,50,25
"Natural Reserve of Mbouzi",0,0,100,100
"Natural Marine Reserve of Reunion Island",0,0,100,100
"Mayotte",27.9411764705882,0,54.4117647058824,47.0588235294118
"vasière des Badamiers",0,0,0,0
"Alphonse",0,0,0,0
"Desroches ",100,0,100,100
"Poivre",0,0,0,0
"Farquhar",100,0,100,100
"D'Aross And St. Joseph",100,0,100,100
"Malgas Island",0,0,100,0
"Jutten Island",0,0,100,0
"Langebaan Lagoon",0,0,100,100
"Sixteen Mile Beach",0,0,100,0
"Table Mountain National Park",0,0,75.6756756756757,0
"Helderberg",0,0,100,100
"Betty's Bay",0,0,100,0
"De Hoop",0,0,91.6666666666667,8.33333333333333
"Goukamma",0,0,100,100
"Robberg",0,0,0,0
"Tsitsikamma",0,0,0,0
"Sardinia Bay",0,0,0,0
"Dwesa-Cwebe",0,0,100,0
"Hluleka",0,0,100,50
"Trafalgar",0,0,100,100
"Pondoland",0,0,43.4782608695652,13.0434782608696
"Marcus Island",0,0,100,0
"Stilbaai",0,0,100,0
"Amathole",0,0,100,55.5555555555556
"Walker Bay Whale Sanctuary",0,0,100,0
"RocherPan",0,0,100,100
"Addo Elephant",0,0,90.9090909090909,16.3636363636364
"Aliwal Shoal",0,0,46.1538461538462,38.4615384615385
"iSimangaliso",0,0,5.74412532637076,3.65535248041775
"Namaqua National Park MPA",0,0,100,100
"uThukela",0,0,88.2758620689655,77.9310344827586
"Agulhas bank complex",0,0,0.970873786407767,0
"Agulhas Fronts",0,0,0,0
"Agulhas Muds",0,0,0,0
"Amathole Offshore",0,0,24.4897959183673,0
"Amathole Offshore",0,0,35.5932203389831,1.69491525423729
"Benguela Muds",0,0,0,0
"Browns  Bank Corals 1",0,0,0,0
"Browns  Bank Corals 2",0,0,0,0
"Browns  Bank Corals 3",0,0,0,0
"Cape Canyon",0,0,88,0
"Childs Bank",0,0,77.0833333333333,12.5
"Namaqua fossil forest",0,0,100,100
"Orange shelf edge East",0,0,56.6666666666667,0
"Orange shelf edge West",0,0,0,0
"Port Elizabeth Corals MPA",0,0,0,0
"Protea Banks MPA",0,0,22.9166666666667,16.6666666666667
"Robben Island",0,0,100,0
"Southeast Atlantic Seamount East",0,0,0,0
"Southeast Atlantic Seamount West",0,0,0,0
"Southwest Indian Seamount North",0,0,1.75438596491228,0
"Southwest Indian Seamount South",0,0,0,0
"Agulhas bank complex",0,0,0,0
"Silhouette",100,0,100,100
"Port  Launay",100,0,100,100
"Ste. Anne",25,0,50,25
"Curieuse",100,0,100,100
"Cousin Special Reserve",100,0,100,100
"Anse Faure Shell Reserve",100,0,100,100
"Praslin Shell Reserve",100,0,100,100
"La Digue",100,0,100,100
"Ile Cocos, Ile La Fouche, Ilot Platte",NA,NA,NA,NA
"Baie Ternay Marine National Park",100,0,100,100
"African Banks Marine",50,0,100,50
"Aride Island",100,0,100,100
"Aldabra Special Reserve",1.25,0,1.25,1.25
"North East Point",0,0,100,0
"Amirantes to Fortune Bank",17.0430486944248,0.105857445306987,18.7896965419901,17.5546930134086
"Aldabra Marine National Park",0.350692617920393,0,0.49096966508855,0.385761879712432
"Kiwengwa Controlled Area (KCA)",NA,NA,NA,NA
"Jozani-Chwaka Bay",100,0,100,100
"Europa Island  Ramsar Site",0,0,0,0
"Juan de Nova",33.3333333333333,0,50,50
"Bassa de India",0,0,0,0
"Tromelin",0,0,0,0
"Transboundary conservation area",36.3636363636364,0,54.5454545454545,45.4545454545455
"Malindi",50,0,100,100
"Watamu",NA,NA,NA,NA
"Glorieuses Archipelago Natural National Reserve",33.3333333333333,0,33.3333333333333,33.3333333333333
"Southern & Antartic Islands",84.6153846153846,0,92.3076923076923,92.3076923076923
