"MPA_Name","Baseline_pH_Mean","Baseline_pH_SD","Baseline_pH_Min","Baseline_pH_Max","pH_Anomaly_SSP126","pH_Anomaly_SSP245","pH_Anomaly_SSP585","Future_ph_ssp126","Future_ph_ssp245","Future_ph_ssp585","SSP585_vs_SSP126_diff"
"Mombasa Marine Park",7.9573,NA,7.9573,7.9573,-0.0885,-0.3665,-0.3665,7.8689,7.5908,7.5908,-0.278
"Mombasa Marine Reserve",7.9462,0.0138,7.9272,7.9576,-0.1056,-0.3301,-0.3301,7.8406,7.6161,7.6161,-0.2245
"Watamu National Park",7.9539,0.0016,7.9528,7.9551,-0.0865,-0.3827,-0.3827,7.8674,7.5713,7.5713,-0.2962
"Malindi  National Park",8.0395,0.0361,8.014,8.065,-0.0648,-0.37,-0.37,7.9747,7.6695,7.6695,-0.3052
"Kiunga Marine National Reserve",8.0591,0.0019,8.0566,8.0611,-0.0606,-0.3603,-0.3603,7.9985,7.6987,7.6987,-0.2997
"Kisite-Mpunguti Marine Reserve",7.986,0.0638,7.9405,8.059,-0.0884,-0.3427,-0.3427,7.8975,7.6432,7.6432,-0.2543
"Kisite-Mpunguti Marine Park",8.0613,0.0033,8.059,8.0637,-0.0606,-0.3624,-0.3624,8.0007,7.6989,7.6989,-0.3018
"Diani-Chale Marine National Park and Reserve",8.0112,0.0693,7.9622,8.0602,-0.0728,-0.3747,-0.3747,7.9385,7.6365,7.6365,-0.3019
"Parc National Coelacanthe",7.8506,0.0848,7.779,7.9443,-0.0921,-0.1823,-0.1823,7.7585,7.6683,7.6683,-0.0902
"Parc National Mitsamiouli-Ndroude",7.9651,NA,7.9651,7.9651,-0.0819,-0.3812,-0.3812,7.8832,7.5839,7.5839,-0.2993
"Parc National Shisiwani",8.017,0.0597,7.9748,8.0592,-0.0789,-0.3725,-0.3725,7.9381,7.6445,7.6445,-0.2936
"Parc National de Moheli (Moheli National Park)
",7.976,0.07,7.8373,8.0698,-0.0827,-0.3429,-0.3429,7.8933,7.6331,7.6331,-0.2602
"Soariake",8.022,0.0537,7.9467,8.0753,-0.0684,-0.3683,-0.3683,7.9536,7.6537,7.6537,-0.2999
