mpa_name,mean_sla_mm,sd_sla_mm,min_sla_mm,max_sla_mm,range_sla_mm,early_mean_mm,recent_mean_mm,change_mm,n_months_positive,pct_positive
Mombasa Marine Park,43.11,48.55,-67.13,186.07,253.2,8.36,97.07,88.71,297,79.8
Mombasa Marine Reserve,43.11,48.55,-67.13,186.07,253.2,8.36,97.07,88.71,297,79.8
Watamu National Park,42.82,49.98,-57.1,196.65,253.75,8.29,97.45,89.16,292,78.5
Malindi  National Park,42.83,49.96,-63.05,185.95,249,7.7,97.27,89.57,293,78.8
Kiunga Marine National Reserve,47.08,54.1,-64.23,238.65,302.87,14.43,103.95,89.51,296,79.6
Kisite-Mpunguti Marine Reserve,43.41,50.2,-77.8,188,265.8,8.02,99.76,91.74,300,80.6
Kisite-Mpunguti Marine Park,43.41,50.2,-77.8,188,265.8,8.02,99.76,91.74,300,80.6
Diani-Chale Marine National Park and Reserve,43.06,48.44,-73.1,188.6,261.7,8.03,97.53,89.5,301,80.9
Parc National Coelacanthe,62.84,71.55,-150.5,250.2,400.7,16.22,120.87,104.64,305,82
Parc National Mitsamiouli-Ndroude,52.85,73.15,-156.5,250.1,406.6,8.56,108.67,100.11,288,77.4
Parc National Shisiwani,53.01,69.91,-186.93,250.6,437.53,7.48,109.97,102.49,292,78.5
"Parc National de Moheli (Moheli National Park)
",55.32,70.54,-155.65,262.15,417.8,8.6,108.93,100.33,300,80.6
Soariake,35.38,65.4,-105.32,230.5,335.82,-7.62,77.48,85.09,263,70.7
Ankarea,50.04,59.14,-122.4,213.3,335.7,3.28,106.55,103.27,306,82.3
Ambodivahibe,51.25,61.37,-110.83,247.57,358.4,5.16,101.63,96.48,299,80.4
Velondriake,32.39,64.19,-114,239.78,353.78,-4.02,71.15,75.17,251,67.5
Kirindy Mite,40.26,73.91,-152.5,246,398.5,3.63,83.57,79.95,258,69.4
Lokobe,45.88,58.59,-124.4,210.1,334.5,0.64,97.37,96.73,294,79
Mananara Nord,47.52,62.25,-136.2,223.8,360,-2.23,91.4,93.64,287,77.2
Masoala,46.7,58.91,-142.9,212.78,355.68,-1.89,87.53,89.42,293,78.8
Nosy Hara,55.01,58.51,-93.35,225.05,318.4,6.68,109.06,102.38,308,82.8
Nosy Mangabe,42.82,67.83,-160.5,201.2,361.7,-13.27,85.34,98.61,279,75
Nosy Tanihely,44.15,59.6,-135.9,210.3,346.2,0.06,94.84,94.79,291,78.2
Nosy Ve Androka,38.68,65.58,-110.03,246.53,356.57,-1.26,79.36,80.62,266,71.5
Sahamalaza Iles Radama,43.08,57.49,-107.2,237.1,344.3,2.91,91.19,88.29,289,77.7
Ankivonjy,43.17,60.47,-136.2,224.5,360.7,0.57,93.49,92.92,284,76.3
Marromeu,42.17,51.7,-89.7,192.45,282.15,-0.77,88.83,89.6,287,77.2
Bazaruto Archipelago,36.77,56.6,-113.15,203.3,316.45,-2.96,76.46,79.42,270,72.6
Cabo Sao Sebastiao,33.92,63.15,-114.1,213.07,327.17,-6.45,77.92,84.37,255,68.5
Ponta do Ouro,42.31,47.48,-77.91,155.39,233.3,-8.24,84.22,92.46,296,79.6
Primeiras and Segundas,40.21,57.04,-98.97,203.78,302.74,3.16,92.33,89.17,281,75.5
Prince Edward Island,45.16,29.44,-23.06,143.81,166.87,43.13,69.12,25.98,352,94.6
Kirui Island,43.46,48.51,-71,187.3,258.3,7.92,99.21,91.29,306,82.3
Mafia Island,40.62,48.74,-106.6,183.3,289.9,3.18,89.65,86.47,292,78.5
Nyororo Island,42.82,49.29,-103.9,193.9,297.8,5.06,93.06,88,291,78.2
Mbarakuni Island,42.42,48.87,-104.55,189.5,294.05,4.74,92.29,87.55,290,78
Mnazi Bay-Ruvuma Estuary,45.21,50.52,-81.2,193.9,275.1,2.9,98.33,95.43,299,80.4
Tanga Coelacanth Marine Park (TACMP),44.07,48.48,-67.5,193.4,260.9,7.51,100.51,93,304,81.7
Ulenge Island,43.51,48.73,-64.85,193.05,257.9,6.91,100.02,93.11,306,82.3
Kwale Island,43.26,48.99,-64.2,194.5,258.7,6.85,99.98,93.13,304,81.7
Mwewe Island,43.26,48.99,-64.2,194.5,258.7,6.85,99.98,93.13,304,81.7
Bongoyo Island,45.01,48.75,-104.75,204.65,309.4,8.6,97.52,88.93,302,81.2
Pangavini Island,43.85,50.06,-120.6,214.8,335.4,8.39,97.21,88.82,301,80.9
Mbudya Island,45.01,48.75,-104.75,204.65,309.4,8.6,97.52,88.93,302,81.2
Fungu-Yasin,45.01,48.75,-104.75,204.65,309.4,8.6,97.52,88.93,302,81.2
Kendwa Island,45.09,50.56,-94.5,215.8,310.3,7.9,99.17,91.27,301,80.9
Makatube Island,45.09,50.56,-94.5,215.8,310.3,7.9,99.17,91.27,301,80.9
Shungumbili,42.82,49.29,-103.9,193.9,297.8,5.06,93.06,88,291,78.2
Sinda Island,45.09,50.56,-94.5,215.8,310.3,7.9,99.17,91.27,301,80.9
Maziwe Island,44.4,48.64,-74.9,197.4,272.3,8.57,101.25,92.68,301,80.9
Quirimbas,43.13,52.77,-97.56,206.26,303.82,-1.33,95.13,96.45,293,78.8
Pemba Channel,44.26,49.12,-84.65,181.15,265.8,8.28,100.33,92.05,304,81.7
Mnemba Island Marine Conservation Area (MIMCA),45.53,49,-74.9,200.8,275.7,9.16,102.6,93.44,305,82
Menai Bay Conservation Area,46.99,49.34,-77.9,189.4,267.3,9.03,95.67,86.65,306,82.3
Changuu-Bawe,47.22,50.67,-83.3,195.4,278.7,8.87,97.61,88.74,309,83.1
Tumbatu,45.42,48.9,-79.4,203.52,282.92,9.25,101.52,92.27,305,82
Ngezi-Vumawimbi,43.41,50.2,-81.8,195.4,277.2,8.36,99.58,91.22,301,80.9
Chumbe Island Coral Park/ Sanctuary,46.14,49.38,-75.6,188.3,263.9,8.46,96.51,88.05,304,81.7
Pomene,40.05,59.04,-111.8,206.67,318.47,-3.11,84.97,88.08,267,71.8
TBCA,43.76,49.46,-68.9,192.2,261.1,7.86,99.68,91.82,304,81.7
Black river,52.18,72.89,-124.2,281.5,405.7,-0.62,100.29,100.91,281,75.5
Grand Port Zone A,51.56,67.06,-109.2,256.5,365.7,0.85,96.77,95.92,283,76.1
Blue Bay,51.56,67.06,-109.2,256.5,365.7,0.85,96.77,95.92,283,76.1
Grand Port Zone B,51.56,67.06,-109.2,256.5,365.7,0.85,96.77,95.92,283,76.1
Trou d' Eau Douce,61.58,74.01,-129.55,291.05,420.6,13.44,109.69,96.25,288,77.4
Poste La Fayette,57.26,70.26,-126.85,284.1,410.95,6.99,103.87,96.88,285,76.6
Poudre d' Or,51.54,67.81,-116.3,274.9,391.2,-0.11,96.47,96.58,280,75.3
Balaclava,55.22,70.9,-129.75,292.5,422.25,1.89,103.01,101.12,283,76.1
Black River,52.32,73.92,-149.5,296.5,446,-1.2,99.7,100.9,284,76.3
Port Louis,55.22,70.9,-129.75,292.5,422.25,1.89,103.01,101.12,283,76.1
Passe Demie,48,84.06,-220.3,260.4,480.7,-0.36,88.72,89.08,263,70.7
Grand Bassin,48,84.06,-220.3,260.4,480.7,-0.36,88.72,89.08,263,70.7
Anse aux Anglais,48,84.06,-220.3,260.4,480.7,-0.36,88.72,89.08,263,70.7
Riviere Banane,48,84.06,-220.3,260.4,480.7,-0.36,88.72,89.08,263,70.7
South East Marine Protected Area (SEMPA),48.36,83.9,-220.03,258.07,478.1,1.05,89.03,87.98,262,70.4
Baie de Boueni,44.91,72.96,-163.5,295.7,459.2,6.97,98.19,91.22,279,75
Natural Reserve of Mbouzi,45.2,71.07,-162.7,281.9,444.6,7.56,98.46,90.91,277,74.5
Natural Marine Reserve of Reunion Island,54.11,70.99,-150.73,245,395.73,2.99,99.63,96.64,282,75.8
Mayotte,45.89,70.25,-159,283.15,442.15,7.28,99.36,92.08,282,75.8
vasière des Badamiers,47.12,70.06,-158,283.1,441.1,8.98,100.98,91.99,287,77.2
Alphonse,44.58,77.22,-111.9,305.8,417.7,24.03,104.25,80.22,260,69.9
Desroches ,44.32,82.08,-148.7,303.5,452.2,22.78,113.93,91.15,256,68.8
Poivre,44.36,81.62,-140.8,294.5,435.3,23.37,111.67,88.3,259,69.6
Farquhar,45.72,76.8,-129.5,284.6,414.1,21.46,99.47,78,269,72.3
D'Aross And St. Joseph,43.22,80.96,-149.7,304.1,453.8,21.05,113.04,91.99,255,68.5
Malgas Island,41.85,34.78,-35.6,143.7,179.3,8.64,92.56,83.91,336,90.3
Jutten Island,41.85,34.78,-35.6,143.7,179.3,8.64,92.56,83.91,336,90.3
Langebaan Lagoon,41.98,34.69,-33.45,154.3,187.75,8.42,90.38,81.97,337,90.6
Sixteen Mile Beach,43.49,34.16,-33.23,152.83,186.07,9.49,88.87,79.37,339,91.1
Table Mountain National Park,48.63,42.06,-53,157.4,210.4,7.6,104.52,96.92,326,87.6
Helderberg,51.47,67.51,-179.4,255,434.4,15.4,110.04,94.64,283,76.1
Betty's Bay,47.48,43.72,-86.7,147.8,234.5,9.47,100.53,91.06,317,85.2
De Hoop,51.01,38.88,-65.93,149.27,215.2,19.2,98.41,79.21,334,89.8
Goukamma,47.29,53.68,-95.45,195.65,291.1,13.82,91.26,77.44,297,79.8
Robberg,45.09,53.08,-103,223.5,326.5,9.97,90.74,80.76,301,80.9
Tsitsikamma,46.93,44.24,-72.8,184.55,257.35,9.83,90.35,80.52,312,83.9
Sardinia Bay,45.33,58.49,-120,267.1,387.1,6.18,89.46,83.28,290,78
Dwesa-Cwebe,34.49,66.2,-142.47,237.53,380,-5.76,76.94,82.7,271,72.8
Hluleka,24.01,63.58,-193.3,251.5,444.8,-15.46,63.52,78.97,246,66.1
Trafalgar,39.26,60.01,-144.3,254,398.3,6.28,90.08,83.8,274,73.7
Pondoland,23.6,59.15,-154,259.7,413.7,-16.52,66.49,83.02,243,65.3
Marcus Island,41.85,34.78,-35.6,143.7,179.3,8.64,92.56,83.91,336,90.3
Stilbaai,51.52,42.1,-57.6,154,211.6,18.09,98.32,80.23,330,88.7
Amathole,44.26,55.47,-105.72,237.18,342.9,-0,92.41,92.42,291,78.2
Walker Bay Whale Sanctuary,47,40.21,-48.57,144.37,192.93,12.8,98.72,85.92,327,87.9
RocherPan,44.71,31.86,-20,131.4,151.4,13.28,92.23,78.94,350,94.1
Addo Elephant,43.44,60.49,-118.53,250.23,368.77,4.7,87.82,83.12,275,73.9
Aliwal Shoal,32.38,60.9,-118.7,269.8,388.5,-3.5,71.1,74.6,258,69.4
iSimangaliso,45.62,61.91,-198.71,185,383.71,-4.55,88.57,93.11,285,76.6
Namaqua National Park MPA,48.75,32.84,-31.28,126.64,157.92,14.92,91.48,76.56,350,94.1
uThukela,38.43,56.69,-139.52,207.77,347.28,-14.41,85.56,99.97,284,76.3
Agulhas bank complex,49.79,37.28,-42.3,153.22,195.52,16.13,96.15,80.02,343,92.2
Agulhas Fronts,33.53,230.06,-754.07,551.64,1305.71,-26.37,64.36,90.73,230,61.8
Agulhas Muds,47.67,39.91,-73.5,154.6,228.1,18.01,95.54,77.53,324,87.1
Amathole Offshore,38.59,61.13,-153,224.53,377.53,-4.71,83.17,87.88,273,73.4
Amathole Offshore,43.9,70.27,-162.9,280.35,443.25,-3.99,95.67,99.66,278,74.7
Benguela Muds,44.32,40.03,-64.65,183.35,248,17.39,94.45,77.06,325,87.4
Browns  Bank Corals 1,49.92,44.56,-52.45,208,260.45,10.79,97.15,86.36,334,89.8
Browns  Bank Corals 2,48.16,41.15,-60,215.55,275.55,12.46,90.35,77.89,335,90.1
Browns  Bank Corals 3,50.69,47.82,-65.8,225.33,291.13,21.07,96.76,75.69,323,86.8
Cape Canyon,44.28,35.99,-32.9,156.1,189,13.23,97.84,84.6,338,90.9
Childs Bank,49.64,38.62,-42.1,161.55,203.65,11.91,94.92,83.01,328,88.2
Namaqua fossil forest,47.35,31.49,-39.53,140.8,180.32,16.87,88.08,71.2,349,93.8
Orange shelf edge East,40.87,35.83,-43.15,129.75,172.9,10.27,87.91,77.64,322,86.6
Orange shelf edge West,36.62,40.54,-84.35,157.1,241.45,1.54,77.97,76.43,305,82
Port Elizabeth Corals MPA,49.28,76.29,-149.85,290.45,440.3,-1.52,81.61,83.12,274,73.7
Protea Banks MPA,39.07,64.68,-190.4,244.1,434.5,4.32,91.71,87.39,272,73.1
Robben Island,55.81,41.89,-43.15,189.1,232.25,15.31,113.46,98.14,347,93.3
Southeast Atlantic Seamount East,55.46,150.41,-337.22,504.77,842,29.71,105.34,75.63,234,62.9
Southeast Atlantic Seamount West,59.07,222.9,-431.82,717.11,1148.92,50.47,104.7,54.23,206,55.4
Southwest Indian Seamount North,42.55,61.37,-176.17,226.93,403.1,2.35,70.79,68.45,280,75.3
Southwest Indian Seamount South,50.16,139.41,-497.83,304.78,802.6,37.91,100.49,62.58,272,73.1
Agulhas bank complex,49.42,36.59,-38.97,145.43,184.4,18.08,94.98,76.9,340,91.4
Silhouette,45.8,82.57,-147.33,357.45,504.78,21.82,117.84,96.01,250,67.2
