"MPA_Name","Baseline_SST","Mean_SSP245_SST","Mean_SSP585_SST","Mean_SSP245_Anom","Mean_SSP585_Anom","Pct_SSP245_gt1.5","Pct_SSP245_gt2.0","Pct_SSP585_gt1.5","Pct_SSP585_gt2.0","ToE_SSP245_1.5","ToE_SSP245_2.0","ToE_SSP585_1.5","ToE_SSP585_2.0","Spread_SSP245","Spread_SSP585","Management_Notes"
"Mombasa Marine Park",15.28,15.97,16.14,0.69,0.86,0,0,25,0,NA,NA,2080,NA,0.39,0.63,NA
"Mombasa Marine Reserve",12.13,12.57,12.65,0.44,0.52,0,0,0,0,NA,NA,NA,NA,0.27,0.38,NA
"Watamu National Park",16.87,17.66,17.94,0.79,1.07,0,0,25,12.5,NA,NA,2080,2090,0.44,0.77,NA
"Malindi  National Park",24.23,25.15,25.7,0.93,1.48,12.5,0,50,37.5,2090,NA,2060,2070,0.47,1.04,NA
"Kiunga Marine National Reserve",27.03,28,28.65,0.97,1.62,12.5,0,50,37.5,2090,NA,2060,2070,0.48,1.11,NA
"Kisite-Mpunguti Marine Reserve",17.52,18.17,18.43,0.65,0.91,0,0,25,0,NA,NA,2080,NA,0.36,0.65,NA
"Kisite-Mpunguti Marine Park",26.96,27.88,28.49,0.92,1.53,12.5,0,50,37.5,2090,NA,2060,2070,0.47,1.06,NA
"Diani-Chale Marine National Park and Reserve",22.2,23.05,23.51,0.85,1.31,0,0,37.5,25,NA,NA,2070,2080,0.45,0.94,NA
"Parc National Coelacanthe",8.49,8.68,8.7,0.19,0.21,0,0,0,0,NA,NA,NA,NA,0.13,0.16,NA
"Parc National Mitsamiouli-Ndroude",16.16,16.81,17,0.66,0.84,0,0,12.5,0,NA,NA,2090,NA,0.36,0.6,NA
"Parc National Shisiwani",18.96,19.6,19.9,0.64,0.94,0,0,25,0,NA,NA,2080,NA,0.34,0.66,NA
"Parc National de Moheli (Moheli National Park)
",16.67,17.27,17.5,0.59,0.82,0,0,12.5,0,NA,NA,2090,NA,0.31,0.58,NA
"Soariake",22.91,23.69,24.2,0.78,1.29,0,0,37.5,25,NA,NA,2070,2080,0.41,0.87,NA
"Ankarea",27.17,28.07,28.65,0.9,1.47,0,0,50,37.5,NA,NA,2060,2070,0.45,1.03,NA
"Ambodivahibe",11.75,12.08,12.15,0.33,0.4,0,0,0,0,NA,NA,NA,NA,0.2,0.3,NA
"Velondriake",24.42,25.27,25.84,0.84,1.42,0,0,50,25,NA,NA,2060,2080,0.44,0.95,NA
"Kirindy Mite",27.25,28.19,28.86,0.94,1.61,12.5,0,50,37.5,2090,NA,2060,2070,0.48,1.09,NA
"Lokobe",28.27,29.2,29.78,0.92,1.51,12.5,0,50,37.5,2090,NA,2060,2070,0.46,1.05,NA
"Mananara Nord",25.59,26.38,26.93,0.79,1.34,0,0,37.5,25,NA,NA,2070,2080,0.41,0.93,NA
"Masoala",25.79,26.58,27.11,0.78,1.31,0,0,37.5,25,NA,NA,2070,2080,0.41,0.93,NA
"Nosy Hara",23.41,24.19,24.67,0.79,1.27,0,0,37.5,25,NA,NA,2070,2080,0.39,0.88,NA
"Nosy Mangabe",25.78,26.59,27.13,0.81,1.35,0,0,37.5,25,NA,NA,2070,2080,0.41,0.95,NA
"Nosy Tanihely",28.13,29.06,29.64,0.93,1.51,12.5,0,50,37.5,2090,NA,2060,2070,0.46,1.05,NA
"Nosy Ve Androka",20.35,21.05,21.48,0.7,1.13,0,0,37.5,12.5,NA,NA,2070,2090,0.37,0.76,NA
"Sahamalaza Iles Radama",25.88,26.72,27.26,0.84,1.38,0,0,50,25,NA,NA,2060,2080,0.43,0.97,NA
"Ankivonjy",15.04,15.5,15.75,0.46,0.71,0,0,12.5,0,NA,NA,2090,NA,0.24,0.5,NA
"Marromeu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bazaruto Archipelago",24.87,25.74,26.32,0.87,1.45,0,0,50,37.5,NA,NA,2060,2070,0.43,0.98,NA
"Cabo Sao Sebastiao",26.38,27.3,27.95,0.92,1.56,12.5,0,50,37.5,2090,NA,2060,2070,0.46,1.04,NA
"Ponta do Ouro",22.87,23.65,24.18,0.78,1.31,0,0,37.5,25,NA,NA,2070,2080,0.39,0.88,NA
"Primeiras and Segundas",23.42,24.21,24.69,0.79,1.28,0,0,37.5,25,NA,NA,2070,2080,0.41,0.88,NA
