scenario,year,ph_mean,ph_change
Baseline,2000,8.0144,0.0094
Baseline,2010,7.9956,-0.0094
SSP1-2.6,2020,7.982,-0.023
SSP1-2.6,2030,7.9621,-0.0429
SSP1-2.6,2040,7.9471,-0.0579
SSP1-2.6,2050,7.9373,-0.0677
SSP1-2.6,2060,7.9314,-0.0736
SSP1-2.6,2070,7.9307,-0.0743
SSP1-2.6,2080,7.9332,-0.0718
SSP1-2.6,2090,7.9392,-0.0658
SSP2-4.5,2020,7.9803,-0.0247
SSP2-4.5,2030,7.9508,-0.0542
SSP2-4.5,2040,7.9163,-0.0887
SSP2-4.5,2050,7.8749,-0.1301
SSP2-4.5,2060,7.8261,-0.1789
SSP2-4.5,2070,7.7733,-0.2317
SSP2-4.5,2080,7.7176,-0.2874
SSP2-4.5,2090,7.6637,-0.3413
SSP5-8.5,2020,7.9803,-0.0247
SSP5-8.5,2030,7.9508,-0.0542
SSP5-8.5,2040,7.9163,-0.0887
SSP5-8.5,2050,7.8749,-0.1301
SSP5-8.5,2060,7.8261,-0.1789
SSP5-8.5,2070,7.7733,-0.2317
SSP5-8.5,2080,7.7176,-0.2874
SSP5-8.5,2090,7.6637,-0.3413
